可发现物品,分类 3,分类1,分类2,分类（英文）,可发现物品（英文）,基础热议度,子分类,子分类 (关联）,展品主题,展品简介,所在地图,"所有特性 ",探索地图（汇总）,探索点,探索点溯源,探索点（英文）,热议度上限,特性效果,特性（颜色）,特殊说明,知识
隐士龟,,,,Tropical Fish,Hermit Turtle,,热带鱼类,热带鱼类 (https://www.notion.so/1df2a3e2f9178001bbdad1268c0b2f9f?pvs=21),海洋,隐士龟,双点海,"外壳 (https://www.notion.so/1c92a3e2f91780f8b115f4e75ef31c58?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,海洋枢纽,海洋枢纽 (https://www.notion.so/1b52a3e2f91781b1bf28facab73abda6?pvs=21),Marina Junction,,"通过坚硬或带刺的外壳保护自身不被吃掉,健康度降至0%时会死亡/枯萎","外壳,生老病死",单位2、繁殖率1,
棕榈树,,,,Tropical Plants,Palm Tree,,热带植物,热带植物 (https://www.notion.so/1df2a3e2f91780ec8010d59b9622ff97?pvs=21),自然,棕榈树,双点海,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),双点海,茂林镇丛林,茂林镇丛林 (https://www.notion.so/1b52a3e2f917812bb136dbff63057660?pvs=21),Overgrowth Jungle,,健康度降至0%时会死亡/枯萎,生老病死,,
鳄龙骨,,,,Dinosaur Bones,Exterragator Skeleton (重复出现),,恐龙骨骼,恐龙骨骼 (https://www.notion.so/1df2a3e2f91780c39b44d7d461a46d53?pvs=21),史前,鳄龙骨,双点海,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),双点海,白骨浅滩,白骨浅滩 (https://www.notion.so/1b52a3e2f91781cd9a0cfeba7afc2566?pvs=21),Bone Bank,,,无,,
闹鬼的人体模型,,,,Cursed Objects,Haunted Mannequin,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,炼狱车站,炼狱车站 (https://www.notion.so/1b52a3e2f91781c4921ec357f4ddd18f?pvs=21),Infernal Station,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
闹鬼的娃娃,,,,Cursed Objects,Haunted Doll,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,炼狱车站,炼狱车站 (https://www.notion.so/1b52a3e2f91781c4921ec357f4ddd18f?pvs=21),Infernal Station,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
故障电话,,,,Cursed Objects,Faulty Phone,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,炼狱车站,炼狱车站 (https://www.notion.so/1b52a3e2f91781c4921ec357f4ddd18f?pvs=21),Infernal Station,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
传奇奶酪球选手,,,,Industrial Age Spirits,Cheeseball Legend,,工业时代灵体,工业时代灵体 (https://www.notion.so/1df2a3e2f9178018a943e6442e504120?pvs=21),超自然,传奇奶酪球选手,冥界,"弗莱明顿球员 (https://www.notion.so/1d32a3e2f91780979d4af4c00d388225?pvs=21), 烟熏镇球员 (https://www.notion.so/1d32a3e2f91780819c2bf8b007e76647?pvs=21), 霍格思波特球员 (https://www.notion.so/1d32a3e2f9178036a85cc6fc74cec9cb?pvs=21)",冥界,冥界展会,冥界展会 (https://www.notion.so/1b52a3e2f917819aae07d4891d2bf553?pvs=21),Netherworld's Fair,,"曾代表弗莱明顿打比赛的奶酪球选手,共处一室的其他灵体少于两个时，平静度降低得更快,曾代表霍格思波特打比赛的奶酪球选手","弗莱明顿球员,烟熏镇球员,霍格思波特球员",,
马戏团小丑花,,,,Man-Eating Plants,Blooming Buffoon,,食人植物,食人植物 (https://www.notion.so/1df2a3e2f91780bcbdb2cc95fa336617?pvs=21),自然,马戏团小丑花,"冥界, 白骨带","植物出品（小丑） (https://www.notion.so/1df2a3e2f91780588630d33088c7088c?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)","白骨带,冥界",冥界展会,"大脚花园 (https://www.notion.so/1b52a3e2f91781819aa0e785ac7674fb?pvs=21), 冥界展会 (https://www.notion.so/1b52a3e2f917819aae07d4891d2bf553?pvs=21)",Netherworld's Fair,,"偶尔会吞掉访客，把他们变成小丑,健康度降至0%时会死亡/枯萎","植物出品（小丑）,生老病死",,
闹鬼的惊吓盒,,,,Cursed Objects,Haunted Jack-in-the-Box,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,冥界展会,冥界展会 (https://www.notion.so/1b52a3e2f917819aae07d4891d2bf553?pvs=21),Netherworld's Fair,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
水中死神,,,,Coldwater Fish,Swim Reaper,,冷水鱼类,冷水鱼类 (https://www.notion.so/1df2a3e2f91780d7bcfdd178eeacc070?pvs=21),海洋,水中死神,"冥界, 双点海",文化单一性 (https://www.notion.so/1c92a3e2f917808eb90cde34a087af7c?pvs=21),"冥界,双点海","墓地浅滩, 极暗深渊","墓地浅滩 (https://www.notion.so/1b52a3e2f917812da281cd4ec9fa88d9?pvs=21), 极暗深渊 (https://www.notion.so/1c12a3e2f9178047a091d976c132c060?pvs=21)",Grave Shallows,,只愿意和同种类的鱼一起生活,文化单一性,单位3、繁殖率1,
蹦床花,,,,Foreign Flora,Springon Flower,,外来花卉,外来花卉 (https://www.notion.so/1df2a3e2f917803796b4fdd4d9cceb8d?pvs=21),自然,蹦床花,冥界,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),冥界,蘑菇荒原,蘑菇荒野 (https://www.notion.so/1b52a3e2f91781bb8292f403ced76417?pvs=21),Mushroom Wilds,,健康度降至0%时会死亡/枯萎,生老病死,,
复制树屋,,,,Foreign Flora,Copyblight Plant,,外来花卉,外来花卉 (https://www.notion.so/1df2a3e2f917803796b4fdd4d9cceb8d?pvs=21),自然,复制树屋,冥界,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),冥界,蘑菇荒原,蘑菇荒野 (https://www.notion.so/1b52a3e2f91781bb8292f403ced76417?pvs=21),Mushroom Wilds,,健康度降至0%时会死亡/枯萎,生老病死,,
呱星人,,,,Natural Spirits,Frogborne,,自然灵体,自然灵体 (https://www.notion.so/1df2a3e2f91780148d90fcfba398e12e?pvs=21),超自然,,冥界,"医护人员 (https://www.notion.so/1dc2a3e2f917801ebe10fbdd65362123?pvs=21), 呱唱家 (https://www.notion.so/1dc2a3e2f9178083bfabc3803f79218f?pvs=21), 星级游侠 (https://www.notion.so/1dc2a3e2f91780409959f7bf99c160e2?pvs=21), 著名青蛙 (https://www.notion.so/1dc2a3e2f917806d8207c6222aeb64b8?pvs=21), 贤者 (https://www.notion.so/1dc2a3e2f91780c6bcfac2080ea5aafc?pvs=21), 驻外大使 (https://www.notion.so/1dc2a3e2f917800cb3a7d9542e3a23be?pvs=21), 长老 (https://www.notion.so/1df2a3e2f9178082837fe415dbbb993b?pvs=21)",冥界,蘑菇荒原,蘑菇荒野 (https://www.notion.so/1b52a3e2f91781bb8292f403ced76417?pvs=21),Mushroom Wilds,,"有几率会治疗员工的伤病,用自己的音乐天赋提升访客的娱乐度,喜欢待在室内,驰名宇宙，增加访客参观太空展示品时获得的热议度,比其他灵体更平静,增加访客的参观时长,族群首领，每个房间仅可存在一名","医护人员,呱唱家,星级游侠,著名青蛙,贤者,驻外大使,长老",,
闹鬼的肖像画,,,,Cursed Objects,Haunted Portrait,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,沉眠庭院,沉眠庭院 (https://www.notion.so/1b52a3e2f91781bfbe2fdc369060d196?pvs=21),Slumber Yard,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
菲茨普奇特画架,,,,Famous Possessions,Fitzpocket Easel,,著名藏品,著名藏品 (https://www.notion.so/1df2a3e2f91780fdbf42d88bb6f96040?pvs=21),超自然,菲茨普奇特画架,冥界,独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21),冥界,沉眠庭院,沉眠庭院 (https://www.notion.so/1b52a3e2f91781bfbe2fdc369060d196?pvs=21),Slumber Yard,,世上仅此一个,独一无二,,
捉鬼风箱,,,,Ghost Dusting Equipment,Ghost Flusterer,,除鬼设备,除鬼设备 (https://www.notion.so/1df2a3e2f917807b9c8ee84ab2cbb933?pvs=21),超自然,,冥界,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),冥界,沉眠庭院,沉眠庭院 (https://www.notion.so/1b52a3e2f91781bfbe2fdc369060d196?pvs=21),Slumber Yard,,,无,,
玛格丽特·菲茨普奇特,,,,Famous Spirits,Margaret Fitzpocket,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,玛格丽特·菲茨普奇特,冥界,"独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21), 艺术家 (https://www.notion.so/1d02a3e2f9178059ab3ef45fcac6126a?pvs=21)",冥界,沉眠庭院,沉眠庭院 (https://www.notion.so/1b52a3e2f91781bfbe2fdc369060d196?pvs=21),Slumber Yard,,"世上仅此一个,爱用灵质进行极具创意力的创作","独一无二,艺术家",,
寒椒树,,,,Mountainous Plants,Chilly Plant,,高山植物,高山植物 (https://www.notion.so/1df2a3e2f9178084ba56c0dadadc3119?pvs=21),自然,寒椒树,"低端科技地穴, 冥界","生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21), 冰封 (https://www.notion.so/1df2a3e2f9178067836bee1ccc48e941?pvs=21)","冥界,低端科技","低温实验室, 寒冰尖塔","寒冰尖塔 (https://www.notion.so/1b52a3e2f91781729280d2519b3c9baa?pvs=21), 低温实验室 (https://www.notion.so/1b52a3e2f91781f4bd93dd55305accf7?pvs=21)",Iced Spires,,"健康度降至0%时会死亡/枯萎,维护度降为0%时会发生融化，解冻的展示品只能进行出售
","生老病死,冰封",,
闹鬼的床铺,,,,Cursed Objects,Haunted Bed,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,寒冰尖塔,寒冰尖塔 (https://www.notion.so/1b52a3e2f91781729280d2519b3c9baa?pvs=21),Iced Spires,,"最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","厕所跳脸杀,鬼魅诱惑,恶灵修复,永恒沉眠,混沌之雨",,
野人,,,,Natural Spirits,Yeti,,自然灵体,自然灵体 (https://www.notion.so/1df2a3e2f91780148d90fcfba398e12e?pvs=21),超自然,野人,冥界,"作家 (https://www.notion.so/1dc2a3e2f9178057b2a4ef16f8d99ff2?pvs=21), 高山急救师 (https://www.notion.so/1dc2a3e2f917807da9c6e125237ee8de?pvs=21), 冰雕师 (https://www.notion.so/1dc2a3e2f91780b791edd1651a465393?pvs=21), 高山歌手 (https://www.notion.so/1dc2a3e2f9178062b149ca22e6e0caa0?pvs=21), 海洋野人 (https://www.notion.so/1dc2a3e2f917803eb385c41aa714ca47?pvs=21), 才智超群 (https://www.notion.so/1dc2a3e2f91780589398fe0274c771e0?pvs=21), 四海为家 (https://www.notion.so/1dc2a3e2f917801fb84bf533b09b63b2?pvs=21), 野人名流 (https://www.notion.so/1dc2a3e2f91780858e21f8276ff59183?pvs=21)",冥界,寒冰尖塔,寒冰尖塔 (https://www.notion.so/1b52a3e2f91781729280d2519b3c9baa?pvs=21),Iced Spires,,"增加访客参观冰封珍品时获得的热议度,有几率会治疗员工的伤病,增加访客参观冰封珍品时获得的热议度,用自己的音乐天赋提升访客的娱乐度,非常喜欢大海（+3知识）,增加访客的知识（+2知识）,适应力极强，到哪都像自己家,高山首领，每个房间仅可存在一名","作家,高山急救师,冰雕师,高山歌手,海洋野人,才智超群,四海为家,野人名流",,
罗奇汉堡角色展示台,,,,Cursed Objects,Roach Burger Animatronics,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,无尽垃圾场,无尽垃圾场 (https://www.notion.so/1b52a3e2f917814aba51eda22fc6806d?pvs=21),Endless Dump,,"被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","恶灵修复,鬼魅诱惑,厕所跳脸杀,永恒沉眠,混沌之雨",,
维多利亚时代平民,,,,Industrial Age Spirits,Plebeian,,工业时代灵体,工业时代灵体 (https://www.notion.so/1df2a3e2f9178018a943e6442e504120?pvs=21),超自然,维多利亚时代平民,冥界,"吟游诗人 (https://www.notion.so/1c92a3e2f9178012b7d3c089ee83c903?pvs=21), 烟囱清洁工 (https://www.notion.so/1d02a3e2f917807298c9de9a88726a2a?pvs=21), 园艺师 (https://www.notion.so/1d02a3e2f91780b9a650d2c84f703118?pvs=21), 酒店员工 (https://www.notion.so/1d02a3e2f917804989c8e5066c613030?pvs=21), 流浪汉 (https://www.notion.so/1d02a3e2f91780f3a23cf3517d52f3b2?pvs=21), 马戏团演员 (https://www.notion.so/1d02a3e2f9178088a372c0aaaef22bff?pvs=21), 厨师 (https://www.notion.so/1d02a3e2f917803fa2d0d51b047a90b7?pvs=21)",冥界,无尽垃圾场,无尽垃圾场 (https://www.notion.so/1b52a3e2f917814aba51eda22fc6806d?pvs=21),Endless Dump,,"用自己的音乐天赋提升访客的娱乐度,灰头土脸，风尘仆仆,非常热爱大自然,非常喜欢酒店,喜欢待在室内,提升其他灵体的娱乐度,有几率会掉落食物给员工","吟游诗人,烟囱清洁工,园艺师,酒店员工,流浪汉,马戏团演员,厨师",,
难头症患者,,,,Industrial Age Spirits,Plightheadedness,,工业时代灵体,工业时代灵体 (https://www.notion.so/1df2a3e2f9178018a943e6442e504120?pvs=21),超自然,,冥界,"作曲家 (https://www.notion.so/1d02a3e2f917805ca76bfddbeadd9dd4?pvs=21), 室内设计师 (https://www.notion.so/1d02a3e2f91780cc8112e56866d48b3f?pvs=21), 艺术家 (https://www.notion.so/1d02a3e2f9178059ab3ef45fcac6126a?pvs=21), 学者 (https://www.notion.so/1d02a3e2f91780e5aa82cdb482238e27?pvs=21), 医生 (https://www.notion.so/1d02a3e2f917804fadd2f4b5691379d6?pvs=21), 图书管理员 (https://www.notion.so/1d02a3e2f91780aab5b1e6f39c977053?pvs=21), 喜剧人 (https://www.notion.so/1d02a3e2f917807eadbcc52294dbfd74?pvs=21), 哲学家 (https://www.notion.so/1d02a3e2f91780c1be21cfca284414d0?pvs=21), 历史学家 (https://www.notion.so/1d02a3e2f91780d9acb8ec8e5677e638?pvs=21)",冥界,默灵剧院,默灵剧院 (https://www.notion.so/1b52a3e2f91781269006c3423bdd0a46?pvs=21),Dead Air Theatre,,"用自己的音乐天赋提升访客的娱乐度,非常喜欢家具,爱用灵质进行极具创意力的创作,提供更多知识,有几率会治疗员工的伤病,从虫子吃人的时代起已经是书虫了,提升其他灵体的娱乐度,比其他灵体更平静,非常喜欢黑暗时代","作曲家,室内设计师,艺术家,学者,医生,图书管理员,喜剧人,哲学家,历史学家",,
闹鬼的电视,,,,Cursed Objects,Haunted TV,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,默灵剧院,默灵剧院 (https://www.notion.so/1b52a3e2f91781269006c3423bdd0a46?pvs=21),Dead Air Theatre,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
斯皮芬多的帽子,,,,Famous Possessions,Spiffinmoore's Hat,,著名藏品,著名藏品 (https://www.notion.so/1df2a3e2f91780fdbf42d88bb6f96040?pvs=21),超自然,斯皮芬多的帽子,冥界,独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21),冥界,斯皮芬多尖塔,斯皮芬多尖塔 (https://www.notion.so/1b52a3e2f917810896f3d0699813e6ca?pvs=21),Spiffinmoore's Spire,,世上仅此一个,独一无二,,
被占的椅子,,,,Cursed Objects,Occupied Chair,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,被占的椅子,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,斯皮芬多尖塔,斯皮芬多尖塔 (https://www.notion.so/1b52a3e2f917810896f3d0699813e6ca?pvs=21),Spiffinmoore's Spire,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
小帮手,,,,Cursed Objects,Helping Hand,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,小帮手,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,斯皮芬多尖塔,斯皮芬多尖塔 (https://www.notion.so/1b52a3e2f917810896f3d0699813e6ca?pvs=21),Spiffinmoore's Spire,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
阿特拉斯·斯皮芬多,,,,Famous Spirits,Atlus Spiffinmoore,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,阿特拉斯·斯皮芬多,冥界,"独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21), 伟大巫师 (https://www.notion.so/1c32a3e2f917807ca128e51172e61e27?pvs=21)",冥界,斯皮芬多尖塔,斯皮芬多尖塔 (https://www.notion.so/1b52a3e2f917810896f3d0699813e6ca?pvs=21),Spiffinmoore's Spire,,"世上仅此一个,会诅咒或祝福员工","独一无二,伟大巫师",,
魂树,,,,Mountainous Plants,Ghost Plant,,高山植物,高山植物 (https://www.notion.so/1df2a3e2f9178084ba56c0dadadc3119?pvs=21),自然,魂树,冥界,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),冥界,迷雾沼泽,迷雾沼泽 (https://www.notion.so/1b52a3e2f9178179a5e1f0134df0d6b9?pvs=21),Fog Moors,,健康度降至0%时会死亡/枯萎,生老病死,,
捕鬼网,,,,Ghost Dusting Equipment,Ghost Net,,除鬼设备,除鬼设备 (https://www.notion.so/1df2a3e2f917807b9c8ee84ab2cbb933?pvs=21),超自然,捕鬼网,冥界,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),冥界,迷雾沼泽,迷雾沼泽 (https://www.notion.so/1b52a3e2f9178179a5e1f0134df0d6b9?pvs=21),Fog Moors,,,无,,
除鬼器1.0版,,,,Man-Eating Plants,Ghost Duster 1.0,,除鬼设备,除鬼设备 (https://www.notion.so/1df2a3e2f917807b9c8ee84ab2cbb933?pvs=21),超自然,,冥界,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),冥界,超自然观测机构,超自然观测机构 (https://www.notion.so/1b52a3e2f91781139521fcc5702d207a?pvs=21),Paranormal Detection Agency,,,无,,
